Facility_ID,Hospital_ID,Hospital_Type,Hospital_Type_Code,Hospital_Name,Address,Hospital_Contact,State_Code,District_Code,Speciality_Code,Emplaned_Date,Hospital_Latitude,Hospital_Longitude,SchemeCode
HOSP21P110107,35633,Hospital,P,ODISHA ENT AND HEAD AND NECK CANCER CARE,"1st Floor Building 1 Kingston Business Parrk Manguli Choudwar,",7978504918,21,350,"100005,100006,100008,100016,100019,100022",2025-01-28 00:00:00,20.531098,85.9269160000001,PMJAY
HOSP21P110591,36117,Hospital,P,SRI SRI BORDA HOSPITAL & CHC,"Lingipur,Sisupalgarh,Bhubaneswar",6743135968,21,362,"100001,100002,100003,100004,100005,100006,100007,100008,100009,100010,100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100026,100028",2025-01-28 00:00:00,20.2131022,85.8527569,PMJAY
HOSP21P110750,40927,Hospital,P,SAHARA NURSHING HOME,"MAIN ROAD DENGAUSTA-CHHANMERI, GANJAM, ORISSA , PIN -761014",9853802735,21,354,"100005,100006,100012,100015,100017",2025-03-13 00:00:00,19.416491,84.501186,PMJAY
HOSP21P110813,41170,Hospital,P,WOMEN AND CHILD CARE HOSPITAL,"GA-309,Kailash Vihar,Sailashree Vihar,C.S.Pur",7978167306,21,362,"100001,100002,100003,100004,100005,100006,100007,100008,100009,100010,100011,100012,100013,100014,100015,100016,100017,100018,100019,100020,100021,100022,100023,100026,100028",2025-04-10 00:08:25.853534,20.096,85.8245,PMJAY
HOSP9P25106079,106079,Hospital,P,AYODHYA NETRALAY,"Moti Nagar Mehdawal road Makki Masjid Sant kabeer nagar ,",9984838491,9,178,100013,2025-11-13 15:28:25,26.777183,83.058283,PMJAY
HOSP9P25106976,106976,Hospital,P,NEW ANSHUMAN HOSPITAL AND TRAUMA CENTRE,"NEDULA CHAUAHA NEAR HANUMAN MANDIR KHALILABAD,",9795156555,9,178,"100005,100006,100013,100015,100023",2025-09-03 13:21:41,26.78195424337261,83.0634454077379,PMJAY
HOSP3P25124227,124227,Hospital,P,SIBIA HEALTHCARE PVT LTD,"JIND ROAD SANGRUR,",9216210321,3,43,"100006,100015,100023",2025-07-15 11:49:16,30.228112677445566,75.84815813028428,PMJAY
HOSP3P25139694,139694,Hospital,P,RAHAT MEDICARE,"SCO 59-60 ,MINI SECRETARIAT ROAD,, NEAR GURUDWARA DUKHNIWARAN SAHIB,PATIALA-147004",9914288838,3,41,"100005,100006,100015,100023",2025-07-15 12:49:11,30.34970015137843,76.39294278404668,PMJAY
HOSP9P25139890,139890,Hospital,P,ANIQA HOSPITAL AND TRAUMA CENTER,"CHANDPUR ROAD NOORPUR,",7300613191,9,132,"100005,100006",2025-08-29 13:17:53,29.1628410000001,78.373772,PMJAY
HOSP9P25143446,143446,Hospital,P,NEW MAHEK HOSPITAL,"MOHAMMADPUR SARAIALI BLOCKBAZAAR MAUIMA PRAYAGRAJ, ",9956206585,9,120,"100005,100006,100012",2025-10-10 16:54:29,25.7018110000001,81.9137480000001,PMJAY
HOSP27P26145639,145639,Hospital,P, JANAI MULTISPECIALITY HOSPITAL RESEARCH CENTER," MARKET YARD SANKESHWAR ROAD GADHINGLAJ  TAL. GADHINGLAJ, DIST. KOLHAPUR-416502,",9595353549,27,480,"100004,100005,100006,100015,100016,100020,100022,100023",2026-01-26 13:35:00,16.2272570000001,74.3525690000001,PMJAY
HOSP9P25154673,154673,Hospital,P,RAJAT HOSPITAL,"Chaubeypur, Pachpediya, Basti, Uttar Pradesh , ",9598118053,9,131,"100005,100006,100015,100023",2025-09-11 13:53:30,26.80291518309174,82.74847842588832,PMJAY
HOSP27P26157663,157663,Hospital,P,Bhigwan Medicare hospital pvt.ltd,"A/P - Madanwadi (Bhigwan) Tal.- Indapur, Dist- Pune, Pin- 413130,",9552956488,27,490,"100001,100002,100004,100005,100006,100007,100008,100011,100014,100015,100020,100022,100023,100026",2026-01-27 16:49:09,18.280694,74.746965,PMJAY
HOSP9P25214880,214880,Hospital,P,URVIL HOSPITAL,"RANGPURA PHAPHAMAU,PRAYAGRAJ",8787064815,9,120,"100004,100005,100006,100015,100020,100023,100026",2025-08-20 16:02:28,25.526418,81.873690,PMJAY
HOSP9P25250130,250130,Hospital,P,SS HOSPITAL,"DUMARI HARIHARPUR KHALILABAD ,",8756699224,9,178,"100005,100006",2025-09-26 17:47:18,26.667292,83.004335,PMJAY
HOSP9P25291979,291979,Hospital,P,SHATABDI HOSPITAL,"SAI DATA MARG ARJUN GANJ SULTANPUR ROAD LUCKNOW,",9935548007,9,162,,2025-12-22 18:19:48,26.802032,80.993203,PMJAY
HOSP3P31431,331431,Hospital,P,LIFE KARE HOSPITAL,"3,4,5 NIRANKARI COLONY F.G.C ROAD",9798880808,3,27,"100005,100006,100015,100023",2021-05-06 15:07:00,31.66514,74.87469,PMJAY
HOSP3P55559,355559,Hospital,P,KIDNEY HOSPITAL AND LIFELINE MEDICAL INSTITUTIONS,"63-64, WARYAM NAGAR,COOL ROAD",9872588025,3,34,,2021-05-06 15:07:00,31.304506,75.587454,PMJAY
HOSP3P58279,358279,Hospital,P,Raja Diagnostic centre and Hospital,"Near Chandigarh road, Nawanshahr,",9115900908,3,40,"100002,100005,100006,100015",2022-04-03 12:29:33,31.12,76.12,PMJAY
